MODEL,TENSOR_PARALLEL_SIZE,TENSOR_PARALLEL_SIZE_FP8,MEASUREMENT_TP,UNI_GROUPS,MAX_MODEL_LEN,TOTAL_GPU_MEM,UNAVAILABLE_MEM_ABS,MODEL_MEM_FROM_CONFIG,MODEL_DTYPE,QUANT_DTYPE,PROFILER_MEM_OVERHEAD,APPROX_MEM_PER_GRAPH_MB,VLLM_PROMPT_USE_FUSEDSDPA,BLOCK_SIZE,VLLM_PROMPT_BS_BUCKET_MIN,VLLM_PROMPT_BS_BUCKET_STEP,VLLM_DECODE_BS_BUCKET_MIN,VLLM_DECODE_BS_BUCKET_STEP,VLLM_PROMPT_SEQ_BUCKET_MIN,VLLM_PROMPT_SEQ_BUCKET_STEP,VLLM_DECODE_BLOCK_BUCKET_MIN,VLLM_DECODE_BLOCK_BUCKET_STEP,MAX_NUM_PREFILL_SEQS,NUM_HIDDEN_LAYERS,HIDDEN_SIZE,NUM_KEY_VALUE_HEADS,NUM_ATTENTION_HEADS,CACHE_DTYPE_BYTES,CACHE_DTYPE_BYTES_FP8,LIMIT_MODEL_LEN,PT_HPU_LAZY_MODE,VLLM_DELAYED_SAMPLING,VLLM_SKIP_WARMUP,EXPERIMENTAL_WEIGHT_SHARING,RUNTIME_SCALE_PATCHING
meta-llama/Llama-3.1-405B-Instruct,8,8,8,"""None""",4352,1024,2,811706777600,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,126,16384,8,128,2,1,131072,1,TRUE,FALSE,0,1
meta-llama/Llama-3.1-70B-Instruct,4,4,4,"""None""",4352,512,2,141107412992,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,80,8192,8,64,2,1,131072,1,TRUE,FALSE,0,1
meta-llama/Llama-3.3-70B-Instruct,4,4,4,"""None""",4352,512,2,141107412992,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,80,8192,8,64,2,1,131072,1,TRUE,FALSE,0,1
mistralai/Mixtral-8x22B-Instruct-v0.1,4,4,4,"""None""",4352,512,2,281260142592,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,56,6144,8,48,2,2,65536,1,TRUE,FALSE,0,0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4,4,4,"""None""",4352,512,2,141107412992,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,80,8192,8,64,2,1,131072,1,TRUE,FALSE,0,1
Qwen/Qwen2.5-72B-Instruct,4,4,4,"""None""",4352,512,2,145412407296,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,80,8192,8,64,2,1,32768,1,TRUE,FALSE,0,1
meta-llama/Llama-3.2-90B-Vision-Instruct,4,4,4,"""None""",8448,512,2,177186710646,2,2,5.5,10,0,128,1,32,1,32,128,256,128,256,1,100,8192,8,64,2,1,131072,1,TRUE,FALSE,0,1
mistralai/Mixtral-8x7B-Instruct-v0.1,2,2,2,"""None""",4352,256,2,93405585408,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,32,4096,8,32,2,2,32768,1,TRUE,FALSE,0,0
meta-llama/Llama-3.1-8B-Instruct,1,1,1,"""None""",4352,128,2,16060522496,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,32,4096,8,32,2,1,131072,1,TRUE,FALSE,0,1
meta-llama/Llama-3.2-1B-Instruct,1,1,1,"""None""",4352,128,2,2471645608,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,16,2048,8,32,2,1,131072,1,TRUE,FALSE,0,1
meta-llama/Llama-3.2-3B-Instruct,1,1,1,"""None""",4352,128,2,6425499648,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,28,3072,8,24,2,1,131072,1,TRUE,FALSE,0,1
mistralai/Mistral-7B-Instruct-v0.2,1,1,1,"""None""",4352,128,2,14483464192,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,32,4096,8,32,2,2,32768,1,TRUE,FALSE,0,0
Qwen/Qwen2.5-14B-Instruct,1,1,1,"""None""",4352,128,2,29540067328,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,48,5120,8,40,2,1,32768,1,TRUE,FALSE,0,1
Qwen/Qwen2.5-32B-Instruct,1,1,1,"""None""",4352,128,2,65527752704,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,64,5120,8,40,2,1,32768,1,TRUE,FALSE,0,1
Qwen/Qwen2.5-7B-Instruct,1,1,1,"""None""",4352,128,2,15231233024,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,28,3584,4,28,2,1,32768,1,TRUE,FALSE,0,1
Qwen/Qwen2.5-32B-Instruct,1,1,1,"""None""",4352,128,2,65527752704,2,2,5.5,10,1,128,1,32,1,32,128,256,128,256,16,64,5120,8,40,2,1,32768,1,TRUE,FALSE,0,1
meta-llama/Llama-3.2-11B-Vision-Instruct,1,1,1,"""None""",8448,128,2,21340441670,2,2,5.5,10,0,128,1,32,1,32,128,256,128,256,1,40,4096,8,32,2,1,131072,1,TRUE,FALSE,0,1
